"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"369";"Albizia gummifera";533,857142857143;NA
"370";"Albizia indet";524,8;NA
"371";"Albizia inundata";583;NA
"372";"Albizia kalkora";489,5;NA
"373";"Albizia lebbeck";597,333333333333;NA
"374";"Albizia lebbek";710;NA
"375";"Albizia lebbekoides";568;NA
"376";"Albizia lucida";880;NA
"377";"Albizia lucidior";758;NA
"378";"Albizia marginata";650;NA
"379";"Albizia niopoides";555;NA
"380";"Albizia odoratissima";638,5;NA
"381";"Albizia pedicellata";315;NA
"382";"Albizia pistaciifolia";450;NA
"383";"Albizia procera";573;NA
"384";"Albizia purpusii";640;NA
"385";"Albizia retusa";460;NA
"386";"Albizia saman";495;NA
"387";"Albizia saponaria";570;NA
"388";"Albizia schimperiana";525;NA
"389";"Albizia splendens";540;NA
"390";"Albizia sumatrana";380;NA
"391";"Albizia tanganyicensis";263;NA
"392";"Albizia tomentella";590;NA
"393";"Albizia umbrosa";630;NA
"394";"Albizia versicolor";644;NA
"395";"Albizia zimmermannii";801;NA
"396";"Albizia zygia";493,666666666667;NA
"397";"Alchornea brachygyne";340;NA
"398";"Alchornea castaneifolia";340;NA
"399";"Alchornea costaricensis";301;NA
"400";"Alchornea glandulosa";378;NA
"401";"Alchornea grandis";340;NA
"402";"Alchornea hirtella";525;NA
"403";"Alchornea iricurana";507;NA
"404";"Alchornea latifolia";426,666666666667;NA
"405";"Alchornea schomburgkii";460;NA
"406";"Alchornea triplinervia";466,666666666667;NA
"407";"Alchorneopsis portoricensis";450;NA
"408";"Alchorneopsis trimera";359,5;NA
"409";"Aldina heterophylla";749;NA
"410";"Aldina insignis";715;NA
"411";"Aldina latifolia";740;NA
"412";"Alectryon oleifolius";958;NA
"413";"Aleurites moluccana";380;NA
"414";"Aleurites montana";318,5;NA
"415";"Aleurites trisperma";430;NA
"416";"Alexa grandiflora";660;NA
"417";"Alexa imperatricis";487,142857142857;NA
"418";"Alexa wachenheimii";490;NA
"419";"Alibertia curviflora";730;NA
"420";"Alibertia edulis";760;NA
"421";"Alibertia sessilis";880;NA
"422";"Alibertia verrucosa";560;NA
"423";"Allanblackia floribunda";687;NA
"424";"Allanblackia parviflora";546;NA
"425";"Allanblackia stanerana";580;NA
"426";"Allanblackia stuhlmannii";620,666666666667;NA
"427";"Allantoma lineata";545;NA
"428";"Allocasuarina acutivalvis";810;NA
"429";"Allocasuarina corniculata";835;NA
"430";"Allocasuarina decaisneana";1043;NA
"431";"Allocasuarina dielsiana";900;NA
"432";"Allocasuarina fraseriana";624;NA
"433";"Allocasuarina huegeliana";762;NA
"434";"Allocasuarina indet";646,5;NA
"435";"Allocasuarina inophloia";811;NA
"436";"Allocasuarina littoralis";632;NA
"437";"Allocasuarina luehmannii";964;NA
"438";"Allocasuarina torulosa";816,333333333333;NA
"439";"Allophylus abyssinicus";568;NA
"440";"Allophylus africanus";450;NA
"441";"Allophylus amazonicus";550;NA
"442";"Allophylus camptostachys";770;NA
"443";"Allophylus chirindensis";564;NA
"444";"Allophylus cobbe";385;NA
"445";"Allophylus edulis";650,5;NA
"446";"Allophylus floribundus";390;NA
"447";"Allophylus peruvianus";390;NA
"448";"Allophylus scrobiculatus";460;NA
"449";"Alloxylon brachycarpum";400;NA
"450";"Alloxylon flammeum";475;NA
