"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"6308";"Platonia insignis";723,142857142857;NA
"6309";"Platycarya strobilacea";599;NA
"6310";"Platycyamus regnellii";810;NA
"6311";"Platylophus trifoliatus";483;NA
"6312";"Platymiscium floribundum";890;NA
"6313";"Platymiscium fragrans";750;NA
"6314";"Platymiscium indet";835;NA
"6315";"Platymiscium lasiocarpum";820;NA
"6316";"Platymiscium pinnatum";721,25;NA
"6317";"Platymiscium trinitatis";864;NA
"6318";"Platymiscium ulei";750;NA
"6319";"Platymiscium yucatanum";830;NA
"6320";"Platymitra arborea";740;NA
"6321";"Platymitra macrocarpa";610;NA
"6322";"Platypodium elegans";805,75;NA
"6323";"Pleiogynium timorense";751,666666666667;NA
"6324";"Pleuranthodendron lindenii";680;NA
"6325";"Pleurostylia africana";745;NA
"6326";"Pleurostylia capensis";717;NA
"6327";"Pleurostylia opposita";660;NA
"6328";"Pleurothyrium parviflorum";470;NA
"6329";"Plinia rivularis";950;NA
"6330";"Ploiarium alternifolium";840;NA
"6331";"Plumeria alba";800;NA
"6332";"Plumeria rubra";500;NA
"6333";"Podocarpus amara";370;NA
"6334";"Podocarpus blumei";600;NA
"6335";"Podocarpus brassii";420;NA
"6336";"Podocarpus brevifolius";580;NA
"6337";"Podocarpus compactus";510;NA
"6338";"Podocarpus coriaceus";700;NA
"6339";"Podocarpus dacrydioides";400;NA
"6340";"Podocarpus elatus";482;NA
"6341";"Podocarpus ensiculus";450;NA
"6342";"Podocarpus ferruginea";450;NA
"6343";"Podocarpus ferrugineus";510;NA
"6344";"Podocarpus gracilior";500;NA
"6345";"Podocarpus grayae";474;NA
"6346";"Podocarpus guatemalensis";400;NA
"6347";"Podocarpus hallii";577;NA
"6348";"Podocarpus henckelii";497;NA
"6349";"Podocarpus hypophylla";465;NA
"6350";"Podocarpus imbricata";419,25;NA
"6351";"Podocarpus indet";503,333333333333;NA
"6352";"Podocarpus lambertii";450;NA
"6353";"Podocarpus latifolia";413;NA
"6354";"Podocarpus latifolius";469;NA
"6355";"Podocarpus milanjiana";500;NA
"6356";"Podocarpus nagi";437;NA
"6357";"Podocarpus neriifolius";476,875;NA
"6358";"Podocarpus nubigena";430;NA
"6359";"Podocarpus oleifolius";453,333333333333;NA
"6360";"Podocarpus parlatorei";427,666666666667;NA
"6361";"Podocarpus polystachya";485;NA
"6362";"Podocarpus rospigliosii";500;NA
"6363";"Podocarpus rumphii";460;NA
"6364";"Podocarpus spicata";550;NA
"6365";"Podocarpus spicatus";616;NA
"6366";"Podocarpus standleyi";550;NA
"6367";"Podocarpus totara";450;NA
"6368";"Podocarpus usambarensis";490,5;NA
"6369";"Podocarpus wallichianus";460;NA
"6370";"Poecilandra retusa";844;NA
"6371";"Poecilanthe hostmannii";620;NA
"6372";"Poecilanthe parviflora";990;NA
"6373";"Poeciloneuron indicum";900;NA
"6374";"Poeppigia procera";735;NA
"6375";"Poga oleosa";393;NA
"6376";"Pogonophora schomburgkiana";832,5;NA
"6377";"Polyalthia asteriella";590;NA
"6378";"Polyalthia australis";598;NA
"6379";"Polyalthia beccarii";650;NA
"6380";"Polyalthia canangioides";680;NA
"6381";"Polyalthia celebica";330;NA
"6382";"Polyalthia cerasoides";755;NA
"6383";"Polyalthia cinnamomea";580;NA
"6384";"Polyalthia corticosa";517;NA
"6385";"Polyalthia fragrans";420;NA
"6386";"Polyalthia glauca";450;NA
"6387";"Polyalthia holtzeana";562;NA
"6388";"Polyalthia hypoleuca";593,333333333333;NA
"6389";"Polyalthia insignis";430;NA
"6390";"Polyalthia lateriflora";500;NA
"6391";"Polyalthia longifolia";563,5;NA
"6392";"Polyalthia macrantha";440;NA
"6393";"Polyalthia macropoda";470;NA
"6394";"Polyalthia michaelii";531,5;NA
"6395";"Polyalthia nitidissima";469;NA
"6396";"Polyalthia oblongifolia";508;NA
"6397";"Polyalthia rumphii";580;NA
"6398";"Polyalthia scortechinii";700;NA
"6399";"Polyalthia simiarum";594;NA
"6400";"Polyalthia suaveolens";695;NA
"6401";"Polyalthia suberosa";680;NA
"6402";"Polyalthia sumatrana";520;NA
"6403";"Polyosma alangiacea";620;NA
"6404";"Polyosma cambodiana";552;NA
"6405";"Polyosma hirsuta";632;NA
"6406";"Polyosma integrifolia";530;NA
"6407";"Polyosma laete-virens";530;NA
"6408";"Polyscias australiana";495;NA
"6409";"Polyscias elegans";412,25;NA
"6410";"Polyscias fulva";237;NA
"6411";"Polyscias kikuyuensis";310;NA
"6412";"Polyscias mollis";411;NA
"6413";"Polyscias murrayi";312,666666666667;NA
"6414";"Polyscias nodosa";320;NA
"6415";"Polyscias ornifolia";553;NA
"6416";"Pometia acuminata";594;NA
"6417";"Pometia alnifolia";760;NA
"6418";"Pometia macrocarpa";640;NA
"6419";"Pometia pinnata";633;NA
"6420";"Pometia ridleyi";720;NA
"6421";"Pometia tomentosa";596,75;NA
"6422";"Pongamia pinnata";594,75;NA
"6423";"Popowia hirta";560;NA
"6424";"Popowia nervosa";530;NA
"6425";"Populus adenopoda";420;NA
"6426";"Populus alba";353;NA
"6427";"Populus balsamifera";310;NA
"6428";"Populus bolleana";440;NA
"6429";"Populus canadensis";386,5;NA
"6430";"Populus cathayana";320;NA
"6431";"Populus ciliata";370;NA
"6432";"Populus davidiana";400;NA
"6433";"Populus deltoides";411,333333333333;NA
"6434";"Populus euphratica";396;NA
"6435";"Populus euramericana";350;NA
"6436";"Populus grandidentata";360;NA
"6437";"Populus indet";340;NA
"6438";"Populus koreana";330;NA
"6439";"Populus lasiocarpa";409,5;NA
"6440";"Populus maximowiczii";310;NA
"6441";"Populus nigra";353;NA
"6442";"Populus pseudosimonii";340;NA
"6443";"Populus purdomii";360;NA
"6444";"Populus rotundifolia";398;NA
"6445";"Populus simonii";320;NA
"6446";"Populus tomentosa";452;NA
"6447";"Populus tremula";373,5;NA
"6448";"Populus tremuloides";350;NA
"6449";"Populus trichocarpa";310;NA
"6450";"Populus ussuriensis";340;NA
"6451";"Populus X berolinensis";350;NA
"6452";"Populus yunnanensis";336,75;NA
"6453";"Poraqueiba guianensis";742,333333333333;NA
"6454";"Poraqueiba sericea";783,333333333333;NA
"6455";"Porcelia macrocarpa";760;NA
"6456";"Porcelia microcarpa";580;NA
"6457";"Porcelia nitidifolia";400;NA
"6458";"Porterandia anisophylla";550;NA
"6459";"Posoqueria acutifolia";700;NA
"6460";"Posoqueria latifolia";569,666666666667;NA
"6461";"Posoqueria longiflora";455;NA
"6462";"Potameia antevaratra";711;NA
"6463";"Potoxylon melagangai";690;NA
"6464";"Poulsenia armata";350,428571428571;NA
"6465";"Poupartia amazonica";450;NA
"6466";"Pourouma apiculata";450;NA
"6467";"Pourouma bicolor";353,166666666667;NA
"6468";"Pourouma cecropiifolia";355,666666666667;NA
"6469";"Pourouma guianensis";380;NA
"6470";"Pourouma hirsutipetiolata";390;NA
"6471";"Pourouma indet";520;NA
"6472";"Pourouma melinonii";320;NA
"6473";"Pourouma minor";436;NA
"6474";"Pourouma mollis";390;NA
"6475";"Pourouma tomentosa";395;NA
"6476";"Pourouma villosa";340;NA
"6477";"Pouteria adolfi-friederici";450;NA
"6478";"Pouteria adolfi-friedericii";430;NA
"6479";"Pouteria alnifolia";554,5;NA
"6480";"Pouteria altissima";441,75;NA
"6481";"Pouteria ambelaniifolia";697;NA
"6482";"Pouteria anibifolia";660;NA
"6483";"Pouteria aningeri";444,666666666667;NA
"6484";"Pouteria anomala";693,833333333333;NA
"6485";"Pouteria arcuata";600;NA
"6486";"Pouteria arnhemica";633;NA
"6487";"Pouteria atabapoensis";450;NA
"6488";"Pouteria australis";759;NA
"6489";"Pouteria benai";880;NA
"6490";"Pouteria bilocularis";708;NA
"6491";"Pouteria buenaventurensis";560;NA
"6492";"Pouteria caimito";805;NA
"6493";"Pouteria campechiana";790;NA
"6494";"Pouteria castanosperma";839;NA
"6495";"Pouteria chartacea";740,333333333333;NA
"6496";"Pouteria cladantha";942,333333333333;NA
"6497";"Pouteria coriacea";895;NA
"6498";"Pouteria cuspidata";900;NA
"6499";"Pouteria doonsaf";490;NA
"6500";"Pouteria duclitan";510;NA
"6501";"Pouteria durlandii";690;NA
"6502";"Pouteria egregia";886,833333333333;NA
"6503";"Pouteria elegans";730;NA
"6504";"Pouteria engleri";774,333333333333;NA
"6505";"Pouteria ephedrantha";758;NA
"6506";"Pouteria eugeniifolia";1112,5;NA
"6507";"Pouteria euphlebia";867,5;NA
"6508";"Pouteria filipes";964;NA
"6509";"Pouteria firma";540;NA
"6510";"Pouteria fissilis";580;NA
"6511";"Pouteria franciscana";600;NA
"6512";"Pouteria galactoxylon";444;NA
"6513";"Pouteria gardneri";930;NA
"6514";"Pouteria gardneriana";628;NA
"6515";"Pouteria glomerata";679;NA
"6516";"Pouteria gongrijpii";799,4;NA
"6517";"Pouteria grandiflora";820;NA
"6518";"Pouteria grandis";930;NA
"6519";"Pouteria guianensis";929,5;NA
"6520";"Pouteria hispida";874;NA
"6521";"Pouteria indet";606,714285714286;NA
"6522";"Pouteria izabalensis";550;NA
"6523";"Pouteria kaernbachiana";456;NA
"6524";"Pouteria lauterbachiana";680;NA
"6525";"Pouteria linggensis";860;NA
"6526";"Pouteria maclayana";420;NA
"6527";"Pouteria macrantha";520;NA
"6528";"Pouteria macrocarpa";645,5;NA
"6529";"Pouteria macrophylla";737;NA
"6530";"Pouteria macropoda";530;NA
"6531";"Pouteria maingayi";635;NA
"6532";"Pouteria malaccensis";660;NA
"6533";"Pouteria manaosensis";640;NA
"6534";"Pouteria melanopoda";968,666666666667;NA
"6535";"Pouteria membranacea";790;NA
"6536";"Pouteria minima";756;NA
"6537";"Pouteria moluccana";570;NA
"6538";"Pouteria multiflora";770;NA
"6539";"Pouteria myrsinodendron";650;NA
"6540";"Pouteria nemorosa";440;NA
"6541";"Pouteria oblanceolata";790;NA
"6542";"Pouteria obovata";715;NA
"6543";"Pouteria obovoidea";630;NA
"6544";"Pouteria obscura";640;NA
"6545";"Pouteria oppositifolia";650;NA
"6546";"Pouteria pachycalyx";760;NA
"6547";"Pouteria pachycarpa";735;NA
"6548";"Pouteria papyracea";564;NA
"6549";"Pouteria pohlmaniana";682,25;NA
"6550";"Pouteria reticulata";794;NA
"6551";"Pouteria richardii";604,25;NA
"6552";"Pouteria rivicoa";770;NA
"6553";"Pouteria sapota";855;NA
"6554";"Pouteria speciosa";607;NA
"6555";"Pouteria superba";461;NA
"6556";"Pouteria torricellensis";516,5;NA
"6557";"Pouteria torta";768,5;NA
"6558";"Pouteria trigonosperma";867;NA
"6559";"Pouteria trilocularis";672;NA
"6560";"Pouteria venosa";920;NA
"6561";"Pouteria vernicosa";737;NA
"6562";"Pouteria villamilii";450;NA
"6563";"Pouteria vitiensis";770;NA
"6564";"Pouteria vrieseana";380;NA
"6565";"Pouteria xerocarpa";584;NA
"6566";"Pradosia cochlearia";730;NA
"6567";"Pradosia indet";680;NA
"6568";"Pradosia ptychandra";645;NA
"6569";"Pradosia schomburgkiana";753,666666666667;NA
"6570";"Pradosia surinamensis";810,5;NA
"6571";"Prainea cuspidata";790;NA
"6572";"Prainea limpato";680;NA
"6573";"Prainea papuana";430;NA
"6574";"Premna acuminata";512;NA
"6575";"Premna angolensis";667;NA
"6576";"Premna latifolia";537;NA
"6577";"Premna lignum-vitae";771,666666666667;NA
"6578";"Premna maxima";568;NA
"6579";"Premna pyramidata";634;NA
"6580";"Premna serratifolia";550;NA
"6581";"Premna tomentosa";570;NA
"6582";"Prestoea decurrens";250;NA
"6583";"Priogymnanthus hasslerianus";870;NA
"6584";"Prioria balsamifera";407;NA
"6585";"Prioria copaifera";413,571428571429;NA
"6586";"Prioria mannii";439,5;NA
"6587";"Prioria oxyphylla";570;NA
"6588";"Prockia crucis";580;NA
"6589";"Prosopis affinis";884;NA
"6590";"Prosopis africana";879,5;NA
"6591";"Prosopis alba";671,5;NA
"6592";"Prosopis algarobilla";916;NA
"6593";"Prosopis alpataco";671;NA
"6594";"Prosopis caldenia";581;NA
"6595";"Prosopis chilensis";730;NA
"6596";"Prosopis cineraria";663;NA
"6597";"Prosopis glandulosa";709,333333333333;NA
"6598";"Prosopis juliflora";793,75;NA
"6599";"Prosopis kuntzei";1039,66666666667;NA
"6600";"Prosopis nigra";720,5;NA
"6601";"Prosopis pallida";880;NA
"6602";"Prosopis rubriflora";800;NA
"6603";"Prosopis ruscifolia";781,666666666667;NA
"6604";"Prosopis spicigera";630;NA
"6605";"Protea angolensis";663;"upemba_p1_145"
"6606";"Protium altsonii";684;NA
"6607";"Protium amazonicum";599;NA
"6608";"Protium aracouchini";490;NA
"6609";"Protium brasiliense";746;NA
"6610";"Protium carnosum";450;NA
"6611";"Protium copal";780;NA
"6612";"Protium crassifolium";490;NA
"6613";"Protium crassipetalum";650;NA
"6614";"Protium crenatum";540;NA
"6615";"Protium cuneatum";490;NA
"6616";"Protium decandrum";512;NA
"6617";"Protium grandifolium";638;NA
"6618";"Protium guianense";711;NA
"6619";"Protium heptaphyllum";629,3;NA
"6620";"Protium indet";546,666666666667;NA
"6621";"Protium javanicum";750;NA
"6622";"Protium llewelynii";490;NA
"6623";"Protium nodulosum";490;NA
"6624";"Protium opacum";570;NA
"6625";"Protium panamense";452,333333333333;NA
"6626";"Protium paniculatum";490;NA
"6627";"Protium paraense";510;NA
"6628";"Protium pedicellatum";490;NA
"6629";"Protium pittieri";475;NA
"6630";"Protium polybotryum";689;NA
"6631";"Protium sagotianum";557,5;NA
"6632";"Protium spruceanum";560;NA
"6633";"Protium subserratum";550;NA
"6634";"Protium tenuifolium";569,75;NA
"6635";"Protium trifoliolatum";685;NA
"6636";"Protium unifoliolatum";330;NA
"6637";"Protomegabaria stapfiana";602;NA
"6638";"Protorhus ditimena";678;NA
"6639";"Protorhus thouarsii";752;NA
"6640";"Prumnopitys amara";380;NA
"6641";"Prumnopitys harmsiana";530;NA
"6642";"Prumnopitys ladei";607;NA
"6643";"Prunus acuminata";590;NA
"6644";"Prunus africana";685,5;NA
"6645";"Prunus arborea";456;NA
"6646";"Prunus armeniaca";675;NA
"6647";"Prunus avium";474;NA
"6648";"Prunus conradinae";530;NA
"6649";"Prunus fordiana";730;NA
"6650";"Prunus gazelle-peninsulae";400;NA
"6651";"Prunus grayana";510;NA
"6652";"Prunus grisea";550;NA
"6653";"Prunus henryi";561,5;NA
"6654";"Prunus ilicifolia";730;NA
"6655";"Prunus indet";448;NA
"6656";"Prunus javanica";670;NA
"6657";"Prunus lusitanica";610;NA
"6658";"Prunus myrtifolia";741;NA
"6659";"Prunus occidentalis";970;NA
"6660";"Prunus padus";465;NA
"6661";"Prunus pensylvanica";360;NA
"6662";"Prunus polystachya";500;NA
"6663";"Prunus reticulata";380;NA
"6664";"Prunus rigida";580;NA
"6665";"Prunus sellowii";920;NA
"6666";"Prunus serotina";470;NA
"6667";"Prunus sphaerocarpa";738;NA
"6668";"Prunus tucumanensis";609;NA
"6669";"Prunus turneriana";460;NA
"6670";"Pseudima frutescens";800;NA
"6671";"Pseudobombax ellipticum";340;NA
"6672";"Pseudobombax grandiflorum";390;NA
"6673";"Pseudobombax marginatum";320;NA
"6674";"Pseudobombax munguba";250;NA
"6675";"Pseudobombax septenatum";211,666666666667;NA
"6676";"Pseudobombax simplicifolium";220;NA
"6677";"Pseudocedrela kotschyi";621;NA
"6678";"Pseudolachnostylis maprouneifolia";620;"upemba_p1_285"
"6679";"Pseudolarix amabilis";421,25;NA
"6680";"Pseudolmedia glabrata";680;NA
"6681";"Pseudolmedia laevigata";629;NA
"6682";"Pseudolmedia laevis";618,444444444444;NA
"6683";"Pseudolmedia macrophylla";660,25;NA
"6684";"Pseudolmedia oxyphyllaria";710;NA
"6685";"Pseudolmedia rigida";640;NA
"6686";"Pseudolmedia spuria";750;NA
"6687";"Pseudomalmea diclina";808;NA
"6688";"Pseudopiptadenia pittieri";610;NA
"6689";"Pseudopiptadenia suaveolens";679,714285714286;NA
"6690";"Pseudotsuga menziesii";427,666666666667;NA
"6691";"Pseudotsuga sinensis";485,5;NA
"6692";"Pseudoweinmannia lachnocarpa";755;NA
"6693";"Pseudoxandra polyphleba";370;NA
"6694";"Pseuduvaria villosa";581;NA
"6695";"Psidium acutangulum";911,666666666667;NA
"6696";"Psidium cattleianum";1120;NA
"6697";"Psidium guajava";652;NA
"6698";"Psidium ilex";988;NA
"6699";"Psidium pomiferum";670;NA
"6700";"Psidium sartorianum";790;NA
"6701";"Psorospermum febrifugum";689;NA
"6702";"Psychotria apoda";520;NA
"6703";"Psychotria celebica";450;NA
"6704";"Psychotria chiapensis";650;NA
"6705";"Psychotria hazenii";520;NA
"6706";"Psychotria indet";678;NA
"6707";"Psydrax latifolia";722;NA
"6708";"Psydrax odorata";870;NA
"6709";"Psydrax parviflora";663;NA
"6710";"Psydrax suaveolens";796;NA
"6711";"Ptaeroxylon obliquum";882,5;NA
"6712";"Pteleocarpa lamponga";630;NA
"6713";"Pteleocarpa malaccensis";640;NA
"6714";"Pteleopsis hylodendron";678,5;"bouamir_p3_309"
"6715";"Pteleopsis myrtifolia";540,5;NA
"6716";"Pternandra azurea";590;NA
"6717";"Pternandra coerulescens";530;NA
"6718";"Pternandra cordata";430;NA
"6719";"Pternandra echinata";580;NA
"6720";"Pternandra galeata";380;NA
"6721";"Pternandra jackiana";570;NA
"6722";"Pterocarpus acerifolius";510;NA
"6723";"Pterocarpus angolensis";560,6;"upemba_p2_6"
"6724";"Pterocarpus antunesii";700;NA
"6725";"Pterocarpus brenanii";801;NA
"6726";"Pterocarpus dalbergioides";620;NA
"6727";"Pterocarpus erinaceus";740;NA
"6728";"Pterocarpus indet";622,6;NA
"6729";"Pterocarpus indicus";636,25;NA
"6730";"Pterocarpus lucens";560;NA
"6731";"Pterocarpus macrocarpus";700;NA
"6732";"Pterocarpus marsupium";620;NA
"6733";"Pterocarpus officinalis";382,875;NA
"6734";"Pterocarpus osun";680;NA
"6735";"Pterocarpus rohrii";455,833333333333;NA
"6736";"Pterocarpus santalinoides";528;NA
"6737";"Pterocarpus santalinus";1019;NA
"6738";"Pterocarpus soyauxii";657,785714285714;"bouamir_p16_40"
"6739";"Pterocarpus vernalis";490;NA
"6740";"Pterocarya stenoptera";348,2;NA
"6741";"Pterocarya tonkinensis";280;NA
"6742";"Pterocelastrus echinatus";788;NA
"6743";"Pteroceltis tatarinowii";660;NA
"6744";"Pterocymbium beccarii";310;NA
"6745";"Pterocymbium javanicum";400;NA
"6746";"Pterocymbium tinctorium";250;NA
"6747";"Pterocymbium tubulatum";340;NA
"6748";"Pterodon emarginatus";910;NA
"6749";"Pterogyne nitens";692,625;NA
"6750";"Pterospermum acerifolium";622,25;NA
"6751";"Pterospermum celebicum";350;NA
"6752";"Pterospermum diversifolium";565;NA
"6753";"Pterospermum grewiaefolium";495;NA
"6754";"Pterospermum heterophyllum";446;NA
"6755";"Pterospermum javanicum";400;NA
"6756";"Pterospermum lanceaefolium";577;NA
"6757";"Pterospermum niveum";556;NA
"6758";"Pterospermum semisagittatum";620;NA
"6759";"Pterostyrax hispidus";311,666666666667;NA
"6760";"Pterostyrax leveillei";400;NA
"6761";"Pterygota alata";446,5;NA
"6762";"Pterygota amazonica";560;NA
"6763";"Pterygota bequaertii";534;"bouamir_p16_281"
"6764";"Pterygota horsfieldii";631,5;NA
"6765";"Pterygota indet";571,5;NA
"6766";"Pterygota macrocarpa";493,25;NA
"6767";"Ptychopetalum olacoides";662,5;NA
"6768";"Ptychopyxis costata";560;NA
"6769";"Ptychopyxis grandis";560;NA
"6770";"Ptychopyxis kingii";580;NA
"6771";"Pullea stutzeri";688;NA
"6772";"Pullea versteeghii";690;NA
"6773";"Punica granatum";771;NA
"6774";"Putranjiva roxburghii";670;NA
"6775";"Pycnanthus angolensis";408,9;"bouamir_p16_15"
"6776";"Pyrenaria acuminata";480;NA
"6777";"Pyrenaria multisepala";604,75;NA
"6778";"Pyrenaria serrata";470;NA
"6779";"Pyrus communis";632;NA
"6780";"Qualea acuminata";650;NA
"6781";"Qualea albiflora";570;NA
"6782";"Qualea brevipedicellata";685;NA
"6783";"Qualea coerulea";596,666666666667;NA
"6784";"Qualea dinizii";597,5;NA
"6785";"Qualea gracilior";580;NA
"6786";"Qualea homosepala";685;NA
"6787";"Qualea impexa";650;NA
"6788";"Qualea implexa";570;NA
"6789";"Qualea indet";545;NA
"6790";"Qualea lancifolia";580;NA
"6791";"Qualea megalocarpa";1010;NA
"6792";"Qualea multiflora";710;NA
"6793";"Qualea paraensis";689,333333333333;NA
"6794";"Qualea rosea";579,6;NA
"6795";"Qualea tricolor";650;NA
"6796";"Quararibea asterolepis";454;NA
"6797";"Quararibea bicolor";486,666666666667;NA
"6798";"Quararibea funebris";475;NA
"6799";"Quararibea guianensis";560;NA
"6800";"Quararibea wittii";465;NA
"6801";"Quassia amara";470;NA
"6802";"Quassia borneensis";430;NA
"6803";"Quassia indica";331;NA
"6804";"Quassia undulata";274,5;NA
"6805";"Quercus abendanonii";600;NA
"6806";"Quercus acutissima";733,4;NA
"6807";"Quercus alba";630;NA
"6808";"Quercus aliena";687,333333333333;NA
"6809";"Quercus aquifolioides";790,5;NA
"6810";"Quercus argentata";740;NA
"6811";"Quercus austrina";750;NA
"6812";"Quercus bambusifolia";853,5;NA
"6813";"Quercus bicolor";660;NA
"6814";"Quercus blakei";780,333333333333;NA
"6815";"Quercus blumeana";690;NA
"6816";"Quercus brachyclada";700;NA
"6817";"Quercus cerris";700;NA
"6818";"Quercus chapmanii";780;NA
"6819";"Quercus chenii";733,666666666667;NA
"6820";"Quercus chevalieri";689;NA
"6821";"Quercus chrysolepis";700;NA
"6822";"Quercus chungii";780;NA
"6823";"Quercus coccinea";620;NA
"6824";"Quercus costaricensis";610;NA
"6825";"Quercus crassinervia";850;NA
"6826";"Quercus curtisii";610;NA
"6827";"Quercus daphnoidea";550;NA
"6828";"Quercus dealbata";675;NA
"6829";"Quercus delavayi";779,5;NA
"6830";"Quercus dilatata";784;NA
"6831";"Quercus engleriana";720;NA
"6832";"Quercus fabri";660;NA
"6833";"Quercus falcata";577;NA
"6834";"Quercus fenestrata";771;NA
"6835";"Quercus fleuryi";808,5;NA
"6836";"Quercus gambelii";620;NA
"6837";"Quercus garryana";640;NA
"6838";"Quercus gemelliflora";695;NA
"6839";"Quercus geminata";872;NA
"6840";"Quercus gilva";800;NA
"6841";"Quercus glandulifera";702;NA
"6842";"Quercus glauca";732,75;NA
"6843";"Quercus glaucoides";795;NA
"6844";"Quercus gracilis";720;NA
"6845";"Quercus griffithii";680;NA
"6846";"Quercus helferiana";694,5;NA
"6847";"Quercus hemisphaerica";690;NA
"6848";"Quercus ilex";820;NA
"6849";"Quercus incana";710;NA
"6850";"Quercus indet";695;NA
"6851";"Quercus kelloggii";510;NA
"6852";"Quercus laevis";639;NA
"6853";"Quercus lamellosa";700;NA
"6854";"Quercus lang-bisnensis";809;NA
"6855";"Quercus laurifolia";583,5;NA
"6856";"Quercus laurina";700;NA
"6857";"Quercus liaotungensis";610;NA
"6858";"Quercus lineata";786,666666666667;NA
"6859";"Quercus lusitanica";700;NA
"6860";"Quercus lyrata";570;NA
"6861";"Quercus macrocarpa";580;NA
"6862";"Quercus maingayi";570;NA
"6863";"Quercus margaretta";756;NA
"6864";"Quercus michauxii";651,5;NA
"6865";"Quercus minima";890;NA
"6866";"Quercus mongolica";635,666666666667;NA
"6867";"Quercus morii";800;NA
"6868";"Quercus multinervis";760;NA
"6869";"Quercus myrsinaefolia";716,666666666667;NA
"6870";"Quercus myrtifolia";807;NA
"6871";"Quercus nigra";631,5;NA
"6872";"Quercus nubium";680;NA
"6873";"Quercus oleoides";860;NA
"6874";"Quercus pachyloma";730;NA
"6875";"Quercus pallida";640;NA
"6876";"Quercus palustris";580;NA
"6877";"Quercus patelliformis";883,5;NA
"6878";"Quercus petraea";570;NA
"6879";"Quercus phellos";560;NA
"6880";"Quercus platycarpa";780;NA
"6881";"Quercus poculiformis";620;NA
"6882";"Quercus prinus";570;NA
"6883";"Quercus pumila";712;NA
"6884";"Quercus pyrenaica";840;NA
"6885";"Quercus reflexa";650;NA
"6886";"Quercus robur";574,714285714286;NA
"6887";"Quercus rubra";560;NA
"6888";"Quercus salicifolia";671,666666666667;NA
"6889";"Quercus semiserrata";712,333333333333;NA
"6890";"Quercus shumardii";644;NA
"6891";"Quercus spicata";745;NA
"6892";"Quercus stellata";660,5;NA
"6893";"Quercus suber";770;NA
"6894";"Quercus subsericea";770;NA
"6895";"Quercus sundaica";630;NA
"6896";"Quercus variabilis";760;NA
"6897";"Quercus velutina";560;NA
"6898";"Quercus virginiana";856;NA
"6899";"Quiina albiflora";947;NA
"6900";"Quiina amazonica";920;NA
"6901";"Quiina florida";728;NA
"6902";"Quiina obovata";851;NA
"6903";"Quintinia acutifolia";626;NA
"6904";"Quintinia altigena";550;NA
"6905";"Quintinia lanceolata";560;NA
"6906";"Quintinia ledermannii";440;NA
"6907";"Quintinia serrata";488;NA
"6908";"Quintinia sieberi";482;NA
"6909";"Radermachera corymbosa";320;NA
"6910";"Radermachera elegans";420;NA
"6911";"Radermachera gigantea";480;NA
"6912";"Radermachera glandulosa";450;NA
"6913";"Radermachera pinnata";460;NA
"6914";"Radermachera sinica";625,5;NA
"6915";"Ramisia brasiliensis";620;NA
"6916";"Randia anisophylla";560;NA
"6917";"Randia armata";668;NA
"6918";"Randia exaltata";515;NA
"6919";"Randia oppositifolia";680;NA
"6920";"Randia racemosa";720;NA
"6921";"Randia scortechinii";620;NA
"6922";"Randia spinosa";716;NA
"6923";"Randia tetracantha";700;NA
"6924";"Randia thurberi";860;NA
"6925";"Rapanea avenis";690;NA
"6926";"Rapanea hasseltii";620;NA
"6927";"Rapanea laetevirens";524;NA
"6928";"Rapanea melanophloeos";706;NA
"6929";"Rapanea neriifolia";638;NA
"6930";"Rapanea rhododendroides";700;NA
"6931";"Rapanea umbellata";705;NA
"6932";"Raputia alba";750;NA
"6933";"Raputia magnifica";1121;NA
"6934";"Raukaua crassifolius";761;NA
"6935";"Raukaua linearis";810;NA
"6936";"Raukaua simplex";543;NA
"6937";"Rauvolfia amsoniifolia";530;NA
"6938";"Rauvolfia caffra";458,75;NA
"6939";"Rauvolfia javanica";400;NA
"6940";"Rauvolfia paraensis";550;NA
"6941";"Rauvolfia praecox";459,666666666667;NA
"6942";"Rauvolfia purpurascens";476;NA
"6943";"Rauvolfia sumatrana";530;NA
"6944";"Ravenia urbanii";900;NA
"6945";"Ravensara indet";727,5;NA
"6946";"Ravensara ovalifolia";555;NA
"6947";"Ravensara polyneura";500;NA
"6948";"Ravensara retusa";687;NA
"6949";"Rawsonia lucida";745;NA
"6950";"Recchia mexicana";1020;NA
"6951";"Recordoxylon amazonicum";800;NA
"6952";"Recordoxylon speciosum";800;NA
"6953";"Reevesia pubescens";580;NA
"6954";"Reevesia thyrsoidea";435;NA
"6955";"Reinwardtiodendron celebicum";750;NA
"6956";"Reinwardtiodendron humile";810;NA
"6957";"Remijia amazonica";560;NA
"6958";"Rhabdodendron macrophyllum";800;NA
"6959";"Rhamnus californica";500;NA
"6960";"Rhamnus cathartica";611;NA
"6961";"Rhamnus crocea";750;NA
"6962";"Rhamnus davurica";551;NA
"6963";"Rhamnus frangula";499;NA
"6964";"Rhamnus glandulosa";580;NA
"6965";"Rhamnus lancifolia";380;NA
"6966";"Rhamnus purshiana";500,5;NA
"6967";"Rhamnus zeyheri";720;NA
"6968";"Rhizophora apiculata";842,5;NA
"6969";"Rhizophora candelaria";850;NA
"6970";"Rhizophora harrisonii";860;NA
"6971";"Rhizophora indet";922;NA
"6972";"Rhizophora mangle";897,714285714286;NA
"6973";"Rhizophora mucronata";814;NA
